id,businessName,fullAddress,streetAddress,city,state,stateFull,zip,country,phone,website,websiteTitle,latitude,longitude,source,certifiedTech,nearestFranchise,distanceToFranchise
22,All Points RV Solutions LLC,"6100 Grayson Ct, Fort Worth, Texas 76148, United States",6100 Grayson Ct,Fort Worth,TX,Texas,76148,US,18172661680,https://www.aprvs.com,www.aprvs.com,32.885324,-97.255735,RVTI,true,"Fireside Fort Worth, TX",10
23,All Seasons RV - Streetsboro,"9043 State Route 14, Streetsboro, Ohio 44241, United States",9043 State Route 14,Streetsboro,OH,Ohio,44241,US,330-564-0222,https://www.ASRVS.com,www.ASRVS.com,41.236185,-81.335578,RVTI,true,"Fireside New Philadelphia, OH",51.9
24,All Stars RV - Littleton,"5989 Main Street, Littleton, Colorado 80125, United States",5989 Main Street,Littleton,CO,Colorado,80125,US,720-348-0404,https://www.allstarsrv.com/,www.allstarsrv.com,39.48326,-104.997958,RVTI,true,"Fireside Arvada, CO",22.6
27,Alpin Haus of Oak Ridge,"3134 NJ-23, Oak Ridge, New Jersey 7438, United States",3134 NJ-23,Oak Ridge,New Jersey 7438,New Jersey 7438,,US,862-244-5442,https://www.alpinhausrv.com/oak-ridge,www.alpinhausrv.com/oak-ridge,41.059004,-74.47341,RVTI,true,"Fireside Montgomery County, PA",75
31,Ancira RV - Boerne,"30500 IH 10 West, Boerne, Texas 78006, United States",30500 IH 10 West,Boerne,TX,Texas,78006,US,800-299-1199,http://www.ancirarv.com/,www.ancirarv.com,29.746143,-98.693634,RVTI,true,"Fireside Austin, TX",67.3
32,Andy's RV Service,"2466 Deere RD, Decatur, Alabama 35603, United States",2466 Deere RD,Decatur,AL,Alabama,35603,US,256-355-2090,,,34.560212,-86.911393,RVTI,true,"Fireside Gadsden, AL",64
33,Ansley RV,"1280 Route 764 PO Box 239, Duncansville, Pennsylvania 16635-0239, United States",1280 Route 764 PO Box 239,Duncansville,PA,Pennsylvania,16635-0239,US,814-695-9817,https://www.ansleyrv.com,www.ansleyrv.com,40.431889,-78.437491,RVTI,true,"Fireside Cumberland, MD",56.5
36,Apache Village RV Center,"9001 Dunn Rd, Hazelwood, Missouri 63042, United States",9001 Dunn Rd,Hazelwood,MO,Missouri,63042,US,314-895-4567,https://www.apachevillagerv.com/,www.apachevillagerv.com,38.778003,-90.352331,RVTI,true,"Fireside Collinsville, IL",21.2
37,Apalachee RV Center,"1364 Duncan Lane, Auburn, Georgia 30011, United States",1364 Duncan Lane,Auburn,GA,Georgia,30011,US,(770) 868-0999,https://myarv.com,myarv.com,33.966977,-83.825781,RVTI,true,"Fireside Blue Ridge, GA",68.2
38,"Appleton Camping Center, Inc.","2100 N. McCarthy Rd., Appleton, Wisconsin 54914, United States",2100 N. McCarthy Rd.,Appleton,WI,Wisconsin,54914,US,920-757-6112,https://www.appletoncamping.com/,www.appletoncamping.com,44.281271,-88.486002,RVTI,true,"Fireside Green Bay, WI",28.3
40,Arizona RV Service,"1700 East Main Street, Mesa, Arizona 85203, United States",1700 East Main Street,Mesa,AZ,Arizona,85203,US,480.220.8197,https://www.arizonarvservice.com/,www.arizonarvservice.com,33.415865,-111.794188,RVTI,true,"Fireside Apache Junction, AZ",14.1
41,"Arlington RV Supercenter, Inc.","966 Quaker Lane, East Greenwich, Rhode Island 02818-1619, United States",966 Quaker Lane,East Greenwich,RI,Rhode Island,02818-1619,US,401-203-5182,https://www.arlingtonrv.com/,www.arlingtonrv.com,41.669707,-71.49867,RVTI,true,"Fireside North Attleboro, MA",22.6
42,ARS Truck and Fleet Service,"3065 New Castle Avenue, New Castle, Delaware 19720, United States",3065 New Castle Avenue,New Castle,DE,Delaware,19720,US,302-208-7544,https://arsfleetservice.com,arsfleetservice.com,39.704111,-75.551318,RVTI,true,"Fireside Lancaster, PA",46.2
44,Atlantic RV Body Repair & Service,"14744 Stevensburg Road, Brandy Station, Virginia 22714, United States",14744 Stevensburg Road,Brandy Station,VA,Virginia,22714,US,(540) 825-8820,https://atlanticrvservice.com,atlanticrvservice.com,38.500464,-77.894023,RVTI,true,"Fireside Woodbridge, VA",36.5
45,Avalon-RV,"510 East Channel Road, Benicia, California 94510, United States",510 East Channel Road,Benicia,CA,California,94510,US,707-746-0400,https://avalon-rv.com/,avalon-rv.com,38.0704,-122.131979,RVTI,true,"Fireside Santa Rosa, CA",40.6
47,AZ Mobile RV Repair,"17160 W. Young St., Surprise, Arizona 85388, United States",17160 W. Young St.,Surprise,AZ,Arizona,85388,US,(541) 279-3007,,,33.635759,-112.429297,RVTI,true,"Fireside Apache Junction, AZ",52.9
51,Beckley's Camping Center,"11109 Angelberger Road, Thurmont, Maryland 21788, United States",11109 Angelberger Road,Thurmont,MD,Maryland,21788,US,833-930-0691,https://www.beckleysrvs.com,www.beckleysrvs.com,39.543276,-77.42488,RVTI,true,"Fireside Cumberland, MD",71.6
53,Bell Road RV Center,"2727 E Bell Road, Phoenix, Arizona 85032, United States",2727 E Bell Road,Phoenix,AZ,Arizona,85032,US,602-971-2450,https://www.bellroadrv.com/,www.bellroadrv.com,33.640045,-112.023096,RVTI,true,"Fireside Apache Junction, AZ",31.4
61,Bill Thomas Camper Sales,"101 Thomas RV Way, Wentzille, Missouri 63385, United States",101 Thomas RV Way,Wentzille,MO,Missouri,63385,US,636-327-5900,,,38.806555,-90.883365,RVTI,true,"Fireside Collinsville, IL",49.4
62,Bish's RV of American Fork,"854 E 1100 S, American Fork, Utah 84003, United States",854 E 1100 S,American Fork,UT,Utah,84003,US,801-492-1428,https://www.bishs.com/,www.bishs.com,40.354767,-111.774639,RVTI,true,"Fireside Layton, UT",49.8
65,Bish's RV of Cheyenne,"2621 Granite Peak Drive, Cheyenne, Wyoming 82007, United States",2621 Granite Peak Drive,Cheyenne,WY,Wyoming,82007,US,307-634-8457,,,41.093323,-104.852538,RVTI,true,"Fireside Fort Collins, CO",37.1
66,Bish's RV of Coldwater,"891 East Chicago Street, Coldwater, Michigan 49036, United States",891 East Chicago Street,Coldwater,MI,Michigan,49036,US,517-278-5196,,,41.935674,-84.962835,RVTI,true,"Fireside Lansing, MI",58.9
68,Bish's RV of Lincoln,"1040 Saltillo Road, Roca, Nebraska 68430, United States",1040 Saltillo Road,Roca,NE,Nebraska,68430,US,402-423-3218,https://www.bishs.com/,www.bishs.com,40.698918,-96.706917,RVTI,true,"Fireside Omaha, NE",55.7
70,Bish's RV of Omaha,"1120 Fort Crook Rd S, Bellevue, Nebraska 68005, United States",1120 Fort Crook Rd S,Bellevue,NE,Nebraska,68005,US,(402) 292-1455,https://www.bishs.com/,www.bishs.com,41.148573,-95.928877,RVTI,true,"Fireside Omaha, NE",7.5
71,Bish's RV of Salt Lake City,"550 South Redwood Road, North Salt Lake, Utah 84054, United States",550 South Redwood Road,North Salt Lake,UT,Utah,84054,US,801-936-1200,https://www.bishs.com/,www.bishs.com,40.831228,-111.937676,RVTI,true,"Fireside Layton, UT",15.9
75,Blue Compass - Airstream Tampa,"4654 McIntosh Road, Dover, Florida 33527, United States",4654 McIntosh Road,Dover,FL,Florida,33527,US,813-659-0008,,,28.020429,-82.252813,RVTI,true,"Fireside Bradenton, FL",41.1
80,Blue Compass - Bill Plemmons RV World - Winston-Salem,"6725 University Parkway, Rural Hall, North Carolina 27045, United States",6725 University Parkway,Rural Hall,NC,North Carolina,27045,US,888-746-2351,,,36.214206,-80.283473,RVTI,true,"Fireside Concord, NC",58.1
85,Blue Compass - Camper Clinic 2,"15855 S IH-35, Buda, Texas 78610, United States",15855 S IH-35,Buda,TX,Texas,78610,US,512-312-1478,http://www.camperclinic2.com/,www.camperclinic2.com,30.076579,-97.823437,RVTI,true,"Fireside Austin, TX",14
86,Blue Compass - Carolina Coach & Camper - Hickory,"3300 Centennial Blvd., Claremont, North Carolina 28610, United States",3300 Centennial Blvd.,Claremont,NC,North Carolina,28610,US,800-305-9045,https://www.carolinacoach.com,www.carolinacoach.com,35.723705,-81.147688,RVTI,true,"Fireside Concord, NC",38.6
92,Blue Compass - Concord,"304 Executive Park Dr, Concord, North Carolina 28025, United States",304 Executive Park Dr,Concord,NC,North Carolina,28025,US,+1 7047 234700,,,35.454779,-80.59708,RVTI,true,"Fireside Concord, NC",3.3
93,Blue Compass - Cousins RV - Colorado Springs,"3204 East Platte Avenue, Colorado Springs, Colorado 80909, United States",3204 East Platte Avenue,Colorado Springs,CO,Colorado,80909,US,719-387-7100,https://www.cousinsrv.com,www.cousinsrv.com,38.840438,-104.770299,RVTI,true,"Fireside Arvada, CO",68.6
94,Blue Compass - Cousins RV - Longmont,"10683 West I-25 Frontage Road, Longmont, Colorado 80504, United States",10683 West I-25 Frontage Road,Longmont,CO,Colorado,80504,US,720-927-2007,https://www.cousinsrv.com,www.cousinsrv.com,40.156107,-104.980468,RVTI,true,"Fireside Arvada, CO",25.1
95,Blue Compass - Cousins RV - Loveland,"900 E Hwy Colorado 402, Loveland, Colorado 80537, United States",900 E Hwy Colorado 402,Loveland,CO,Colorado,80537,US,970-669-6444,,,40.377517,-105.065994,RVTI,true,"Fireside Arvada, CO",39.7
96,Blue Compass - Cousins RV - Wheat Ridge,"4100 Youngfiled St, Wheat Ridge, Colorado 80033, United States",4100 Youngfiled St,Wheat Ridge,CO,Colorado,80033,US,(303) 422-2001,,,39.771394,-105.141353,RVTI,true,"Fireside Arvada, CO",3.6
98,Blue Compass - ExploreUSA RV Supercenter - Austin,"21320 Interstate 35, Kyle, Texas 78640, United States",21320 Interstate 35,Kyle,TX,Texas,78640,US,+1 5122 622777,http://www.exploreusa.com,www.exploreusa.com,30.001452,-97.868631,RVTI,true,"Fireside Austin, TX",19.8
100,Blue Compass - Great Escapes RV of St. Louis,"18155 Historic Rte 66, Eureka, Missouri 63025, United States",18155 Historic Rte 66,Eureka,MO,Missouri,63025,US,(314) 530-0110,https://www.greatescapesrv.com/locations/st-louis?utm_source=google-gmb&utm_medium=organic&utm_campaign=greatescapesstlouis,www.greatescapesrv.com/locations/st-louis?utm_source=google-gmb&utm_medium=organic&utm_campaign=greatescapesstlouis,38.504661,-90.67398,RVTI,true,"Fireside Collinsville, IL",39
102,Blue Compass - Johns RV Sales and Service,"242 Glassmaster RD, Lexington, South Carolina 29073, United States",242 Glassmaster RD,Lexington,SC,South Carolina,29073,US,803-359-2957,,,33.961216,-81.225746,RVTI,true,"Fireside Lexington, SC",1.5
105,Blue Compass - Mid-State RV Center,"131 Peachtree PKWY PO Box 1330, Byron, Georgia 31008, United States",131 Peachtree PKWY PO Box 1330,Byron,GA,Georgia,31008,US,478-956-3654,,,32.668746,-83.743381,RVTI,true,"Fireside Byron, GA",1.4
106,Blue Compass - Motorhome Specialist,"5411 S I35W, Alvarado, Texas 76009, United States",5411 S I35W,Alvarado,TX,Texas,76009,US,817-790-7771,https://mhsrv.com/,mhsrv.com,32.425819,-97.229725,RVTI,true,"Fireside Fort Worth, TX",23.5
107,Blue Compass - Chattanooga (1),"442 Candy Lane, Ringgold, Georgia 30736, United States",442 Candy Lane,Ringgold,GA,Georgia,30736,US,706-935-8883,https://www.bluecompassrv.com/locations/tennessee/chattanooga,www.bluecompassrv.com/locations/tennessee/chattanooga,34.911606,-85.137466,RVTI,true,"Fireside Blue Ridge, GA",46.2
108,"Blue Compass - Northgate RV Center, Inc Service & Parts","3332 Wrights Ferry Rd, Louisville, Tennessee 37777, United States",3332 Wrights Ferry Rd,Louisville,TN,Tennessee,37777,US,865-392-8034,https://www.northgaterv.com,www.northgaterv.com,35.840274,-83.984465,RVTI,true,"Fireside Blue Ridge, GA",70.1
110,Blue Compass RV,"100 Southeast 3rd Avenue - Suite 1850, Fort Lauderdale, Florida 33304, United States",100 Southeast 3rd Avenue - Suite 1850,Fort Lauderdale,FL,Florida,33304,US,(954) 908-3650,https://bluecompassrv.com,bluecompassrv.com,26.121824,-80.139805,RVTI,true,"Fireside West Palm Beach, FL",41.4
113,Blue Compass - RV ONE SUPERSTORE OF JACKSONVILLE,"8281 MERRILL RD, Jacksonville, Florida 32277, United States",8281 MERRILL RD,Jacksonville,FL,Florida,32277,US,9047173888,https://RVONE.COM,RVONE.COM,30.35363,-81.558014,RVTI,true,"Fireside St. Augustine, FL",34.9
115,Blue Compass - RV One Superstores - Auburn Hills,"2375 N Opdyke Rd, Auburn Hills, Michigan 48326, United States",2375 N Opdyke Rd,Auburn Hills,MI,Michigan,48326,US,248-373-5811,https://www.asrvcenter.com/?utm_source=local&utm_campaign=gmbdet&utm_medium=organic,www.asrvcenter.com/?utm_source=local&utm_campaign=gmbdet&utm_medium=organic,42.676734,-83.248092,RVTI,true,"Fireside Lansing, MI",66.5
117,Blue Compass - RV One Superstores - Gainesville,"12380 Northwest US Highway 441, Alachua, Florida 32615, United States",12380 Northwest US Highway 441,Alachua,FL,Florida,32615,US,386-462-3039,,,29.766732,-82.422119,RVTI,true,"Fireside St. Augustine, FL",67
119,"Blue Compass - RV Outlet USA of NMB (North Myrtle Beach, SC)","2049 Hwy 9 W, Longs, South Carolina 29568, United States",2049 Hwy 9 W,Longs,SC,South Carolina,29568,US,(843) 756-2222,https://www.rv007.com/?utm_source=google-gmb&utm_medium=organic&utm_campaign=rvoutletusanmb,www.rv007.com/?utm_source=google-gmb&utm_medium=organic&utm_campaign=rvoutletusanmb,33.988767,-78.749094,RVTI,true,"Fireside Darlington, SC",67.9
123,Blue Compass - Sierra RV - Marriott-Slaterville Ogden,"1010 S. 1700 W., Marriot-Slaterville, Utah 84404, United States",1010 S. 1700 W.,Marriot-Slaterville,UT,Utah,84404,US,801-728-9988,https://www.sierrarvsales.com,www.sierrarvsales.com,41.248807,-112.019609,RVTI,true,"Fireside Layton, UT",13.3
124,Blue Compass - Sonny's Camp-N-Travel,"302 South Main Street, Duncan, South Carolina 29334, United States",302 South Main Street,Duncan,SC,South Carolina,29334,US,+1 8644 330887,http://www.sonnysrv.com,www.sonnysrv.com,34.918209,-82.107285,RVTI,true,"Fireside Asheville, NC",53.1
127,Blue Compass - Vidor,"21833 I-10, Vidor, Texas 77662, United States",21833 I-10,Vidor,TX,Texas,77662,US,(409) 769-3300,https://www.exploreusa.com/locations/beaumont?utm_source=google-gmb-appts&utm_medium=organic&utm_campaign=exploreusabeaumont,www.exploreusa.com/locations/beaumont?utm_source=google-gmb-appts&utm_medium=organic&utm_campaign=exploreusabeaumont,30.121758,-94.028788,RVTI,true,"Fireside Livingston, TX",67.5
134,Boltz's RV Service,"11 Weirich Lane, Jonestown, Pennsylvania 17038, United States",11 Weirich Lane,Jonestown,PA,Pennsylvania,17038,US,+1 7178 653059,https://www.facebook.com/p/Boltzs-RV-Service-100054622651526/,www.facebook.com/p/Boltzs-RV-Service-100054622651526,40.473268,-76.524041,RVTI,true,"Fireside Lancaster, PA",32.2
135,Boyer RV Center,"8495 Peach Street, Erie, Pennsylvania 16509, United States",8495 Peach Street,Erie,PA,Pennsylvania,16509,US,814-868-7561,https://www.boyerrvsales.com/,www.boyerrvsales.com,42.039334,-80.068117,RVTI,true,"Fireside Jamestown, NY",42.9
136,Bravo Zulu RV Services,"224 Rainbow Drive #12452, Livingston, Texas 77399, United States",224 Rainbow Drive #12452,Livingston,TX,Texas,77399,US,515-491- 8200,,,30.643803,-94.873,RVTI,true,"Fireside Livingston, TX",5.9
143,Broken Rivets RV Service Inc.,"10041 Buzzards Bottom Road, Ruther Glen, Virginia 22546, United States",10041 Buzzards Bottom Road,Ruther Glen,VA,Virginia,22546,US,804-994-1405,,,37.921012,-77.475192,RVTI,true,"Fireside Woodbridge, VA",52.4
144,Brown's RV Superstore,"30049 Highway 151, Mcbee, South Carolina 29101, United States",30049 Highway 151,Mcbee,SC,South Carolina,29101,US,877-805-3658,http://www.brownsrvsuperstore.com,www.brownsrvsuperstore.com,34.426799,-80.185031,RVTI,true,"Fireside Concord, NC",71.4
147,Byerly RV,"295 East 5th Street, Eureka, Missouri 83025, United States",295 East 5th Street,Eureka,MO,Missouri,83025,US,(636) 938-2000,https://Byerlyrv.com,Byerlyrv.com,38.506965,-90.617609,RVTI,true,"Fireside Collinsville, IL",36
148,C&R Trailer Sales,"5035 W Powerline Road, Tremonton, Utah 84337, United States",5035 W Powerline Road,Tremonton,UT,Utah,84337,US,435-246-3048,https://www.crutah.com/,www.crutah.com,41.675317,-112.137693,RVTI,true,"Fireside Layton, UT",43.4
150,Campers Inn - Dylan's RV Center,"2190 Delsea Dr., Sewell, New Jersey 8080, United States",2190 Delsea Dr.,Sewell,New Jersey 8080,New Jersey 8080,,US,856-228-0090,https://www.dylansrv.com/,www.dylansrv.com,39.783665,-75.102703,RVTI,true,"Fireside Lancaster, PA",66.1
152,Campers Inn RV of Fredericksburg,"1132 Richmond Hwy, Fredericksburg, Virginia 22405, United States",1132 Richmond Hwy,Fredericksburg,VA,Virginia,22405,US,540-602-2030,https://www.campersinn.com/fredericksburg,www.campersinn.com/fredericksburg,38.379226,-77.447836,RVTI,true,"Fireside Woodbridge, VA",22.1
153,Campers Inn RV of Huntsville (Madison),"9311 Madison Blvd, Madison, Alabama 35758, United States",9311 Madison Blvd,Madison,AL,Alabama,35758,US,256-837-3883,https://www.campersinn.com/huntsville-madison,www.campersinn.com/huntsville-madison,34.671349,-86.764108,RVTI,true,"Fireside Gadsden, AL",62.7
154,Campers Inn RV of Jacksonville (North),"14590 Duval Place West, Jacksonville, Florida 32218, United States",14590 Duval Place West,Jacksonville,FL,Florida,32218,US,304-741-5100,https://www.campersinn.com/jacksonville-north,www.campersinn.com/jacksonville-north,30.475333,-81.646258,RVTI,true,"Fireside St. Augustine, FL",44.8
155,Campers Inn RV of Kings Mountain,"615 Broadview Drive, Kings Mountain, North Carolina 28086, United States",615 Broadview Drive,Kings Mountain,NC,North Carolina,28086,US,704-750-7295,https://www.campersinn.com/kings-mountain,www.campersinn.com/kings-mountain,35.228788,-81.330637,RVTI,true,"Fireside Asheville, NC",73.3
156,Campers Inn RV of Leesburg,"3230 Hwy 441-27, Fruitland Park, Florida 34731, United States",3230 Hwy 441-27,Fruitland Park,FL,Florida,34731,US,652-787-7744,https://www.campersinn.com/leesburg,www.campersinn.com/leesburg,28.85181,-81.902192,RVTI,true,"Fireside Lithia, FL",70.7
158,Campers Inn RV of Macon,"125 Peachtree Parkway, Byron, Georgia 31008, United States",125 Peachtree Parkway,Byron,GA,Georgia,31008,US,(478) 956-6111,https://www.campersinn.com/macon,www.campersinn.com/macon,32.665677,-83.743652,RVTI,true,"Fireside Byron, GA",1.3
159,"Campers Inn RV of Mesa (Little Dealer, Little Prices)","2038 N. Country Club Drive, Mesa, Arizona 85201, United States",2038 N. Country Club Drive,Mesa,AZ,Arizona,85201,US,480-834-9581,https://www.littledealer.com/locations/rvs-for-sale-mesa,www.littledealer.com/locations/rvs-for-sale-mesa,33.45321,-111.84026,RVTI,true,"Fireside Apache Junction, AZ",17
160,Campers Inn RV of Mocksville,"462 Interstate Drive, Mocksville, North Carolina 27078, United States",462 Interstate Drive,Mocksville,NC,North Carolina,27078,US,336-753-0014,https://www.campersinn.com/mocksville,www.campersinn.com/mocksville,35.917272,-80.603983,RVTI,true,"Fireside Concord, NC",35.2
161,Campers Inn RV of Myrtle Beach,"5837 South Kings Highway, Myrtle Beach, South Carolina 29575, United States",5837 South Kings Highway,Myrtle Beach,SC,South Carolina,29575,US,(843) 945-9477,https://www.campersinn.com/myrtlebeach,www.campersinn.com/myrtlebeach,33.635064,-78.954789,RVTI,true,"Fireside Darlington, SC",70
162,Campers Inn RV of Ocala,"7677 South U.S. Hwy 441, Ocala, Florida 34480, United States",7677 South U.S. Hwy 441,Ocala,FL,Florida,34480,US,652-622-7733,https://www.campersinn.com/ocala,www.campersinn.com/ocala,29.109681,-82.092574,RVTI,true,"Fireside Longwood, FL",53.6
163,Campers Inn RV of Philadelphia,"1651 Bethlehem Pike, Hatfield, Pennsylvania 19440, United States",1651 Bethlehem Pike,Hatfield,PA,Pennsylvania,19440,US,215 822 1345,https://www.campersinn.com/philadelphia,www.campersinn.com/philadelphia,40.290698,-75.269078,RVTI,true,"Fireside Lancaster, PA",57.4
164,"Campers Inn RV of Phoenix (Little Dealer, Little Prices)","2350 W Deer Valley Road, Phoenix, Arizona 85027, United States",2350 W Deer Valley Road,Phoenix,AZ,Arizona,85027,US,623-889-3900,https://www.littledealer.com/locations/rvs-for-sale-phoenix,www.littledealer.com/locations/rvs-for-sale-phoenix,33.684939,-112.109572,RVTI,true,"Fireside Apache Junction, AZ",37.3
165,Campers Inn RV of Pittsburgh,"1580 SR 65 South, Ellwood City, Pennsylvania 16117, United States",1580 SR 65 South,Ellwood City,PA,Pennsylvania,16117,US,(724) 752-1541,https://www.campersinn.com/pittsburgh,www.campersinn.com/pittsburgh,40.836781,-80.273753,RVTI,true,"Fireside New Philadelphia, OH",65.9
168,Campers Inn RV of Richfield,"3284 State Hwy 145 Road, Richfield, Wisconsin 53076, United States",3284 State Hwy 145 Road,Richfield,WI,Wisconsin,53076,US,262-674-1577,https://www.campersinn.com/richfield,www.campersinn.com/richfield,43.282292,-88.200693,RVTI,true,"Fireside Kenosha, WI",51.9
170,Campers Inn RV of Tucker,"1825 Tucker Industrial Road, Tucker, Georgia 30084, United States",1825 Tucker Industrial Road,Tucker,GA,Georgia,30084,US,(404) 377-8000,https://www.campersinn.com/atlanta,www.campersinn.com/atlanta,33.835754,-84.202845,RVTI,true,"Fireside Blue Ridge, GA",71.4
171,Campers Inn RV of Union,"2 Mashapaug Road, Union, Connecticut 06076, United States",2 Mashapaug Road,Union,CT,Connecticut,06076,US,860-851-9133,https://www.campersinn.com/union,www.campersinn.com/union,42.027816,-72.137078,RVTI,true,"Fireside North Attleboro, MA",41.7
172,Campers RV Center,"7700 West 70th Street, Shreveport, Louisiana 71129, United States",7700 West 70th Street,Shreveport,LA,Louisiana,71129,US,318-938-5441,http://www.campersrvcenter.com/,www.campersrvcenter.com,32.443634,-93.926386,RVTI,true,"Fireside Florien, LA",74.9
177,Camping World - Crain RV LLC,"9801 Interstate 30, Little Rock, Arkansas 72209, United States",9801 Interstate 30,Little Rock,AR,Arkansas,72209,US,501-568-0338,,,34.672548,-92.371841,RVTI,true,"Fireside Alexander, AR",4.9
182,Camping World - Hitch RV,"127 Rt 73, Berlin, New Jersey 8009, United States",127 Rt 73,Berlin,New Jersey 8009,New Jersey 8009,,US,(856) 629-7400,https://www.hitchrv.com,www.hitchrv.com,39.728246,-74.906368,RVTI,true,"Fireside Montgomery County, PA",41.2
183,Camping World - Macon,"100 Suncoast Dr., Byron, Georgia 31008, United States",100 Suncoast Dr.,Byron,GA,Georgia,31008,US,(866) 478-4419,https://jayco.campingworld.com/dealer/jayco-byron-georgia?utm_source=moz&utm_campaign=directory&utm_medium=organic,jayco.campingworld.com/dealer/jayco-byron-georgia?utm_source=moz&utm_campaign=directory&utm_medium=organic,32.662627,-83.746764,RVTI,true,"Fireside Byron, GA",1
184,Camping World of Akron,"1005 Interstate Parkway, Akron, Ohio 44312, United States",1005 Interstate Parkway,Akron,OH,Ohio,44312,US,800-875-0600,http://www.campingworld.com,www.campingworld.com,40.97992,-81.486896,RVTI,true,"Fireside New Philadelphia, OH",33.9
186,Camping World of Alvarado /Cleburne,"5201 S I-35 W, Alvarado, Texas 76009, United States",5201 S I-35 W,Alvarado,TX,Texas,76009,US,(888) 310 2373,http://campingworld.com,campingworld.com,32.401311,-97.221005,RVTI,true,"Fireside Fort Worth, TX",25.3
189,Camping World of Atlanta (BGA),"2289 E. Rock Quarry Road, Buford, Georgia 30519, United States",2289 E. Rock Quarry Road,Buford,GA,Georgia,30519,US,,,,34.075314,-83.899024,RVTI,true,"Fireside Blue Ridge, GA",59.6
190,Camping World of Augusta,"145 Mason McKnight Junior Parkway, Augusta, Georgia 30907, United States",145 Mason McKnight Junior Parkway,Augusta,GA,Georgia,30907,US,,,,33.491655,-82.105241,RVTI,true,"Fireside Lexington, SC",60.3
191,Camping World of Avondale,"10255 W Papagp Fwy, Avondale, Arizona 85323, United States",10255 W Papagp Fwy,Avondale,AZ,Arizona,85323,US,623-239-3337,,,33.432537,-112.281724,RVTI,true,"Fireside Apache Junction, AZ",42.2
193,Camping World of Bartow (DCW),"7400 SR 60 East, Bartow, Florida 33830, United States",7400 SR 60 East,Bartow,FL,Florida,33830,US,863-533-2458,,,27.918316,-81.728914,RVTI,true,"Fireside Bradenton, FL",59.3
194,Camping World of Benton,"19503 I-30, Benton, Arkansas 72015, United States",19503 I-30,Benton,AR,Arkansas,72015,US,(877) 359-5413,https://jayco.campingworld.com/dealer/jayco-benton-arkansas,jayco.campingworld.com/dealer/jayco-benton-arkansas,34.597258,-92.551703,RVTI,true,"Fireside Alexander, AR",6.7
195,Camping World of Berkley,"137 Myricks Street, Berkley, Massachusetts 02779, United States",137 Myricks Street,Berkley,MA,Massachusetts,02779,US,888-710-5457,,,41.838417,-71.012541,RVTI,true,"Fireside North Attleboro, MA",18.7
